iteration,game_id,timestamp,total_moves,winner,termination_reason,unique_positions
0,0,2025-10-05 19:45:44,82,draw,threefold_repetition,82
0,1,2025-10-05 20:13:22,576,draw,seventy_five_moves,576
0,2,2025-10-05 20:19:50,211,draw,stalemate,211
0,3,2025-10-05 20:20:20,29,draw,threefold_repetition,29
0,4,2025-10-05 20:21:07,41,draw,threefold_repetition,41
0,5,2025-10-05 20:22:02,52,draw,threefold_repetition,52
0,6,2025-10-05 20:23:41,67,draw,threefold_repetition,67
0,7,2025-10-05 20:25:03,59,draw,threefold_repetition,59
0,8,2025-10-05 20:26:49,79,draw,threefold_repetition,79
0,0,2025-10-09 12:56:30,19,draw,threefold_repetition,19
0,1,2025-10-09 12:56:41,25,draw,threefold_repetition,25
0,2,2025-10-09 12:56:54,30,draw,threefold_repetition,30
0,3,2025-10-09 12:57:02,19,draw,threefold_repetition,19
0,4,2025-10-09 12:57:16,31,draw,threefold_repetition,31
1,0,2025-10-09 13:06:29,469,draw,stalemate,469
1,1,2025-10-09 13:12:04,337,draw,insufficient_material,337
1,2,2025-10-09 13:25:17,555,draw,insufficient_material,555
1,3,2025-10-09 13:31:52,362,draw,insufficient_material,362
1,4,2025-10-09 13:39:26,435,draw,threefold_repetition,435
2,0,2025-10-09 13:43:13,196,white,checkmate,196
2,1,2025-10-09 13:46:31,213,draw,threefold_repetition,213
2,2,2025-10-09 13:51:59,304,draw,threefold_repetition,304
2,3,2025-10-09 13:52:03,13,black,checkmate,13
2,4,2025-10-09 13:57:44,345,draw,threefold_repetition,345
3,0,2025-10-09 13:58:40,76,draw,threefold_repetition,76
3,1,2025-10-09 14:04:40,295,draw,threefold_repetition,295
3,2,2025-10-09 14:09:36,291,draw,threefold_repetition,291
3,3,2025-10-09 14:14:45,290,draw,threefold_repetition,290
3,4,2025-10-09 14:24:37,389,draw,threefold_repetition,389
4,0,2025-10-09 14:27:11,165,draw,threefold_repetition,165
4,1,2025-10-09 14:32:56,245,draw,threefold_repetition,245
4,2,2025-10-09 14:36:08,167,black,checkmate,167
4,3,2025-10-09 14:38:59,191,draw,threefold_repetition,191
4,4,2025-10-09 14:45:18,241,draw,threefold_repetition,241
